./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,791,2000,212,2,1,1,2,107,39,0.6232013681061975,1.0,0.7219040000000175,0.8632898387246489
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,913,2000,177,3,3,6,1,107,35,0.603434275437573,1.0,0.7057000000000233,0.8550643581825922
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,1278,2000,218,3,4,0,0,108,59,0.6259313046812,1.0,0.7311850000000112,0.8560651020598407
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,1673,2000,221,2,3,1,2,124,35,0.6074752612904578,1.0,0.7140061797133507,0.850812167359577
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,2038,2000,240,1,0,3,3,129,50,0.6013883705834968,0.999505,0.714252107928335,0.8423871560658712
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,2221,2000,220,1,3,5,6,136,49,0.6073022871083662,1.0,0.7236323288378933,0.8392482032103021
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,2434,2000,234,2,0,3,4,112,43,0.6000631534170034,1.0,0.7154650000000192,0.8387578712129916
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,2586,2000,213,2,2,3,2,135,50,0.6037187290497072,1.0,0.7188366666666852,0.8398437882351636
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,2768,2000,216,3,1,1,1,127,44,0.5987176463903248,1.0,0.7138240169213846,0.8387592194965098
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run3_rep0_counts.csv,2920,2000,220,0,3,4,5,121,49,0.5967241112141878,1.0,0.7144430000000204,0.835260923098773
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run3_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run3_rep0_counts.csv,122,2000,125,2,2,1,3,129,53,0.7165271500000185,0.99901,0.7172350000000185,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run3_rep0_counts.csv,274,2000,212,2,0,1,3,117,44,0.7088159037138564,1.0,0.7088159037138564,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run3_rep0_counts.csv,791,2000,212,3,1,4,2,132,44,0.7152807000000186,0.998515,0.7163400000000186,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run3_rep0_counts.csv,913,2000,229,1,0,1,0,123,41,0.7259906666666563,1.0,0.7259906666666563,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run3_rep0_counts.csv,1278,2000,223,0,1,0,0,122,49,0.7259647823708004,1.0,0.7259647823708004,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run3_rep0_counts.csv,1673,2000,193,1,1,3,3,135,40,0.7034392424294443,1.0,0.7034392424294443,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run3_rep0_counts.csv,2038,2000,167,2,2,2,0,121,34,0.7134094270829431,1.0,0.7134094270829431,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run3_rep0_counts.csv,2221,2000,219,1,3,1,2,109,46,0.7438627312302409,1.0,0.7438627312302409,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run3_rep0_counts.csv,2434,2000,173,2,2,0,3,122,55,0.7121501022877119,0.999505,0.7124966022877118,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run3_rep0_counts.csv,2586,2000,219,4,5,2,3,135,41,0.7289507934951006,1.0,0.7289507934951006,1.0
